"team","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","outcome","team_num","result"
"PORTUGAL",65,13,0,11,1,0,0,0,3,6,7,4,27,10,8,7,20,780,205,208,367,19,167,118,23,18,1,0,9,15,2,678,592,33,7,9,9,17,0,10,0,44,165,1,20,36,1,2,"2"
"BRAZIL",53,13,2,24,0,2,0,1,10,9,11,13,14,9,10,7,20,727,144,275,308,11,184,134,16,10,0,0,7,12,1,585,526,19,3,6,6,12,0,4,0,72,236,2,28,31,1,1,"1"
"BRAZIL",51,9,1,9,0,1,0,1,5,2,6,3,19,12,5,5,11,659,154,218,287,16,164,114,20,11,1,0,10,17,3,565,498,26,3,6,8,18,0,4,0,85,282,1,13,37,1,1,"1"
"BRAZIL",47,9,4,18,1,4,0,3,9,8,14,4,20,5,5,7,15,666,149,257,260,17,193,145,21,17,0,0,8,13,0,616,556,18,4,9,5,16,1,10,0,73,310,5,28,41,1,1,"1"
"BRAZIL",56,13,0,19,1,0,0,0,6,11,14,5,20,5,6,7,13,643,145,328,170,9,181,145,15,9,2,0,14,14,1,548,491,28,8,3,11,14,0,7,0,54,226,1,26,31,1,2,"2"
"BRAZIL",45,10,1,20,1,1,0,1,11,4,12,8,25,10,15,8,20,737,153,239,345,11,185,121,19,10,3,0,24,22,3,695,625,25,6,4,7,25,0,9,0,77,423,2,29,35,0,2,"0"
"WALES",51,16,0,10,2,0,0,0,3,4,5,5,18,3,8,11,13,722,135,286,301,13,208,129,17,8,1,1,9,10,2,508,413,20,5,13,2,12,0,21,0,89,161,2,31,41,2,1,"2"
"WALES",33,10,0,7,3,0,0,0,1,3,1,6,7,1,2,0,4,388,71,138,179,1,104,55,4,1,2,0,16,9,1,325,261,4,1,1,1,10,0,17,0,49,328,3,24,17,2,1,"2"
"WALES",39,10,1,7,1,1,0,0,3,3,5,2,7,2,5,2,7,436,100,172,164,9,174,103,17,8,2,0,10,15,1,409,321,15,6,8,3,15,1,7,0,72,292,2,13,40,0,2,"0"
"NETHERLANDS",48,13,1,2,1,0,1,1,1,1,0,2,8,8,2,4,11,632,129,267,236,4,168,115,9,4,0,0,15,12,1,524,451,8,0,6,2,16,0,14,0,85,254,2,15,31,0,1,"0"
